symbol,sector,total_assets,total_liabilities,total_equity,net_revenue,nonhalal_revenue_percent,net_income,operating_cash_flow,interest_expense,debt_to_equity,debt_to_assets,roe,roa,profit_margin,interest_coverage,cash_flow_to_debt,f_riba,f_nonhalal,riba_intensity,sector_encoded
ASLC,Other,530527910173.6667,194184770898.3333,336343139275.3333,281744380989.3333,0.0,10487714257.0,0.0,3183177715.333333,0.5773412572550559,0.3660217816528588,0.031181591155973215,0.01976844960629287,0.03722421799566274,3.294730987365474,0.0,0.3660217816528588,0.0,0.011298105410854126,13
ASRI,Other,21923987930000.0,11714975561750.0,10209012368250.0,3177530620750.0,0.0,209107631500.0,0.0,848203626250.0,1.1475131128436618,0.5343451017741004,0.020482650422711225,0.009537846497984274,0.06580821916694664,0.2465299900030933,0.0,0.5343451017741004,0.0,0.26693798659595497,13
ASSA,Other,6157092914220.0,4265197858167.6665,1891895056052.3333,4665182476449.0,0.0,110932023346.33331,0.0,249299360322.0,2.254457954484809,0.692729169039671,0.05863539998767497,0.018016948077904153,0.02377871045909688,0.4449751624033504,0.0,0.692729169039671,0.0,0.05343828705104786,13
ATIC,Other,4466541074348.5,4225311899052.25,241229175296.25,7650289923682.5,0.0,-144827205011.5,0.0,189207241173.0,17.515758174205946,0.9459919496360086,-0.6003718448800393,-0.03242491283540359,-0.018930943331071405,-0.7654421898106876,0.0,0.9459919496360086,0.0,0.02473203539480034,13
ATLA,Other,57890250497.0,32820142993.0,25070107504.0,111725427761.0,0.0,8393349826.666667,0.0,358654494.6666667,1.309134513594066,0.566937311744761,0.3347951270383457,0.14498727772998024,0.07512479473000087,23.402327174143483,0.0,0.566937311744761,0.0,0.003210142058564238,13
AUTO,Other,17565386500000.0,4888458750000.0,12676927750000.0,16062469000000.0,0.0,945650750000.0,0.0,42884000000.0,0.38561856992519344,0.27830066534545084,0.0745962088487883,0.05383603429392231,0.058873312066781265,22.051365311071724,0.0,0.27830066534545084,0.0,0.0026698261643337646,13
AVIA,Other,9675938383744.5,1276781286474.75,8399157097269.75,6555489170811.0,0.0,1403371788391.75,0.0,14344061880.5,0.15201302603207453,0.1319542597149784,0.16708483626862192,0.14503728038919755,0.21407583047202783,97.83642876635658,0.0,0.1319542597149784,0.0,0.0021880993937673536,13
BAJA,Other,735738994462.5,593938336448.75,141800658013.75,1147923792090.5,0.0,9751047641.25,0.0,15457534690.75,4.188544290049469,0.8072677143919175,0.06876588429021584,0.013253406051114235,0.008494507830952987,0.6308281259808626,0.0,0.8072677143919175,0.0,0.013465645365360072,13
BALI,Other,5092237561754.25,2719637189167.5,2372600372586.75,914792360894.75,0.0,158878704064.25,0.0,218130540782.5,1.146268550148793,0.5340750811772024,0.06696395478140763,0.03120017519558084,0.17367734018772543,0.7283652417231635,0.0,0.5340750811772024,0.0,0.2384481441986994,13
BAPA,Other,138043527386.75,7730344749.0,130313182637.75,6887427053.75,0.0,-3089872102.0,0.0,173562314.25,0.059321279647425486,0.05599932785940959,-0.023711124534417632,-0.02238331749769949,-0.4486250203285495,-17.802667101737047,0.0,0.05599932785940959,0.0,0.025199876949041546,13
BATA,Other,717380376666.6666,309167943333.3333,408212433333.3333,513841097666.6667,0.0,-111628523000.0,0.0,8968433000.0,0.7573702270868281,0.430967940285589,-0.27345694027121337,-0.15560576596572923,-0.2172432752204932,-12.446825772127626,0.0,0.430967940285589,0.0,0.017453709017681382,13
