symbol,sector,sector_compliant,financial_compliant,shariah_compliant,debt_to_assets_ok,interest_income_ok,interest_bearing_debt_ok,profitability_ok,equity_ok,debt_to_assets_value,interest_income_value,interest_bearing_debt_value,roa_value,equity_ratio_value
BYAN,Other,1,0,0,True,True,False,True,True,0.0697730351673814,0.0039299210519225,1.156270429116995,0.4333187827558084,0.5853746847957529
CAMP,Other,1,0,0,,True,,True,True,,0.0083076938013032,,0.089161462715692,0.8830102856648667
CARE,Other,1,0,0,True,True,False,True,True,0.1791668698425414,0.0936503392987867,1.0,-0.0114827669023947,0.8044191709878017
CARS,Other,1,0,0,False,True,False,True,True,0.690273678695541,0.0008700755760773,1.0,-0.0628688295209108,0.167495326359832
CASS,Construction,1,1,1,True,True,True,True,True,0.1032501094051525,0.0383615623128821,0.5297565856803197,0.0422234127476468,0.4250128758275148
CBUT,Other,1,0,0,False,True,False,True,True,0.6126489395731191,0.0023955293001277,1.0,0.0440531015994454,0.1370254231606033
CENT,Other,1,0,0,False,True,False,True,True,0.8264731977514727,0.0029646601738665,0.9929094576044633,-0.0624844264595512,0.0828383902713088
CFIN,Other,1,0,0,True,True,False,True,True,0.4003612755206356,0.0173596473748032,0.9964413690838984,0.0338482523342314,0.5607806267675722
CGAS,Other,1,0,0,True,True,False,True,True,0.1445797915438277,0.0006585291616633,1.0,0.0199101348144364,0.488013969842318
CHIP,Other,1,0,0,True,,True,True,True,0.2184148485569826,,0.7904854845245867,0.1204734332475069,0.3954421854116014
CITA,Other,1,0,0,True,True,False,True,True,0.0135296029901366,0.0016455948555598,0.9697951619186164,0.1384069575750013,0.8582622177189264
CLEO,Food & Beverage,1,0,0,True,,True,True,True,0.2039973640309297,,0.8673001182023882,0.1189783520746902,0.6807108107805301
CLPI,Other,1,0,0,True,True,,True,True,0.1136758678926865,0.0080245749865324,,0.0565193906190071,0.7011245073231354
CMNP,Other,1,0,0,True,True,False,True,True,0.2082022318780378,0.0143110746944589,0.9996912639120976,0.0434334592524603,0.6282441327503592
CMNT,Other,1,0,0,True,True,False,True,True,0.5359664475835945,0.0015425084846315,0.9845531515057244,0.010279954523147,0.198065036335216
CMPP,Other,1,0,0,False,True,True,False,False,1.0818779468852875,0.0003356765587018,0.0431403272917016,-0.4075176948003491,-0.9001142440823369
CMRY,Other,1,0,0,True,True,False,True,True,0.0063105099333093,0.0108346499138938,0.9989520649084644,0.1637942095026975,0.8331874046906945
CNKO,Other,1,0,0,True,True,False,False,False,0.4178578759805176,0.0001744020784053,0.9997944929577844,-0.1027640784343694,-1.1874712193731602
CNMA,Other,1,0,0,True,True,,True,True,0.3029968027001513,0.0140157366985279,,0.009453051835412,0.5905419785610551
CPIN,Other,1,0,0,True,True,False,True,True,0.2011699178300974,0.0007339712649845,0.9521178845846292,0.0862138931581598,0.6909042642516463
CPRO,Other,1,0,0,True,True,False,True,True,0.3922673781655871,0.0003917410628384,0.9753486607154042,0.1271829015282389,0.3855150152297741
CSAP,Retail,1,1,1,True,True,True,True,True,0.3747401196072291,0.0001262484392011,0.7124460320931918,0.0187029779667505,0.2782030274518339
CSMI,Other,1,0,0,True,,True,False,True,0.2907500279143126,,0.82099145733873,-0.1704098572659378,0.1962464514236627
CTBN,Other,1,0,0,True,True,,True,True,0.0089517694008729,0.0002959341723483,,-0.0123813132476591,0.654515888040338
CTRA,Real Estate,1,0,0,True,True,False,True,True,0.220312611510753,0.0312728671691388,1.0,0.0407329128283283,0.4846792248935199
CTTH,Other,1,0,0,True,True,False,True,True,0.4578246357588531,0.0003168962731876,0.9912149212440028,-0.0373571655246602,0.2873813196273613
CUAN,Other,1,0,0,True,True,False,True,True,0.2903451232358788,0.0060783591300611,1.0,0.0930252063144534,0.5652733368799968
DART,Other,1,0,0,True,True,False,True,True,0.5089544071889006,0.0043647067436601,0.9997472517533704,-0.0624926410017841,0.3802568069249779
DCII,Other,1,0,0,True,True,False,True,True,0.4238643825374111,0.0031687722307724,0.9987531680578964,0.1076668609269975,0.4647814352156675
DEAL,Other,1,0,0,False,True,True,False,True,0.609087097192461,0.0022744117249175,0.8444970213036126,-0.1501531112149113,-0.0114027215362178
DEPO,Other,1,1,1,True,True,True,True,True,0.0374240265024985,0.0028551968947627,0.2464652877201225,0.0623917948203123,0.616467297335495
DEWA,Oil & Gas,1,1,1,True,True,True,True,True,0.141904255626774,0.0008153715527615,0.7456268150464472,-0.0054553903450641,0.4441197308727841
DFAM,Other,1,0,0,True,,False,True,True,0.5949642585377184,,1.0,-0.0565218236963876,0.2231284648678476
DGIK,Other,1,0,0,True,True,False,True,True,0.0340608722384749,0.003663570613197,0.994179543592798,0.0066534363940892,0.6440740167866458
DILD,Other,1,0,0,True,True,False,True,True,0.3097708846745827,0.0151919495725786,0.9999465748589867,0.0026168239473606,0.3937324483476276
DIVA,Other,1,0,0,True,True,False,True,True,0.0698209756852835,0.0013848398087188,0.972985943059085,0.0076296900781301,0.8820347734698943
DKFT,Other,1,0,0,True,True,False,True,True,0.3313390608752687,0.0123758742425537,1.0008157374053437,-0.0235708092491531,0.1909341247419693
DMAS,Real Estate,1,0,0,True,True,,True,True,0.0001205746178866,0.0214871524144264,,0.1713012923604326,0.8579132189287345
DMMX,Other,1,0,0,True,True,False,True,True,0.050880245132084,0.0057917484505186,1.0,0.0033598165133382,0.8368531141046054
DMND,Other,1,0,0,True,True,,True,True,0.0159709617334798,0.0051375125019487,,0.0490467284485725,0.800066895690982
DNET,Other,1,0,0,True,True,False,True,True,0.342009926784822,0.0111260871085146,0.9896767226619624,0.0434949044880122,0.6252798919010992
DOID,Other,1,0,0,False,True,True,True,True,0.6006104429469398,0.0039832362571385,0.8148955029498103,0.0068514922377939,0.1747364923339227
DPUM,Other,1,0,0,True,True,False,False,True,0.5118421934805242,4.244152887628668e-05,0.9998087542206224,-0.1187330911926999,0.4297495108127405
DRMA,Other,1,0,0,True,True,False,True,True,0.2170234363128474,0.0010786260937557,0.992636613447329,0.1296835008129953,0.4935946004519583
DSNG,Other,1,0,0,True,True,False,True,True,0.3825538623934221,0.0022353554225135,0.9936089489677044,0.0547219862943936,0.5102064763662045
DSSA,Other,1,1,1,True,True,True,True,True,0.2467041182934409,0.005989332940563,0.9260479808741648,0.0680207216344564,0.5247267339838146
DUTI,Other,1,0,0,True,True,False,True,True,0.0029667096282866,0.0527758443119585,1.2115743648271613,0.050310798091733,0.7306571015315623
DVLA,Other,1,0,0,True,True,,True,True,0.0033669773543121,0.0017599454921914,,0.0744415656239367,0.6821490054771785
DWGL,Other,1,0,0,True,True,False,True,True,0.2995682876883087,0.0006221632117151,0.998573008832818,0.0285390175913861,0.0732481482012308
DYAN,Other,1,1,1,True,True,True,True,True,0.2507331245496244,0.0049922084836839,0.7626942736764585,-0.0792689856945475,0.5075909080314759
ECII,Other,1,0,0,True,True,,True,True,0.0175405152463009,0.0069379010240684,,0.0019411441201972,0.7151474506180295
EDGE,Other,1,0,0,True,True,False,True,True,0.097434665389685,0.008524824845649,1.2790501474038023,0.1115676313191479,0.6560853330586388
ELPI,Other,1,0,0,True,True,False,True,True,0.0989374265789383,0.0042669080300772,0.977168505271134,0.0632988790671656,0.8224194896492735
ELSA,Mining,1,1,1,True,True,True,True,True,0.166498130749731,0.0039555561873028,0.7523434533749866,0.0372801769205888,0.4829919738831512
ELTY,Other,1,0,0,True,True,False,True,True,0.1028391580780162,0.0028025720008116,1.0,-0.0420154470282592,0.7122812241846814
EMDE,Other,1,0,0,True,True,False,True,True,0.2890477098763861,0.0007691365090921,1.0,0.0470741930078559,0.3887878167156633
EMTK,Real Estate,1,0,0,True,True,False,True,True,0.0385395442108039,0.0163466043462368,0.9787822057718236,0.0907909752371583,0.8669807668979835
ENAK,Other,1,1,1,True,True,True,True,True,0.561587795186856,0.0003750522132468,0.4553648959335197,-0.0184639784763896,0.2199526890555068
ENRG,Other,1,1,1,True,True,True,True,True,0.1852381015196484,0.0001006813616229,0.4318575338310214,0.0512296304414291,0.3938436375361239
ENVY,Other,1,0,0,True,,True,False,True,0.0017086072616885,,0.0,-0.7751257819030386,0.5539570648192387
EPMT,Other,1,1,1,True,True,True,True,True,0.0011418468425379,0.0010200231253552,0.123765771151379,0.0760427140165758,0.6908668201983287
ERAA,Other,1,1,1,True,True,True,True,True,0.2642134825306515,0.0002603141946641,0.8279017259603216,0.0576359706406171,0.4573861053128195
ERAL,Other,1,1,1,True,True,True,True,True,0.1500307863217217,0.0051817756655796,0.7437231561644949,0.1305816617956313,0.6439805530149223
ESSA,Other,1,0,0,True,True,False,True,True,0.4330578067823849,0.0030529244291028,0.9988771136925252,0.0538024259096797,0.5228982082656066
ETWA,Other,1,0,0,False,True,False,False,False,0.9238136697937396,0.0003168465727187,1.0,-0.1111840907448883,-0.2596195257798682
EXCL,Other,1,1,1,True,True,True,True,True,0.5045082569071927,0.0042203915527035,0.2628576403442388,0.0128064017763196,0.2900652040604209
FAPA,Other,1,0,0,True,True,False,True,True,0.4150380514771547,0.002166289653519,0.9996319384514512,0.0341540021846697,0.4196717932299838
FAST,Food & Beverage,1,1,1,True,True,True,True,True,0.2217032550551067,0.0032004798334728,0.6415844344039717,-0.0684295284318355,0.3211867083091948
FASW,Other,1,0,0,True,True,False,True,True,0.4773769623938791,0.0041329767012013,0.9952587266753166,0.0092516543865832,0.380462495335726
FILM,Other,1,0,0,,True,,True,True,,0.0234175997201595,,0.0389442817151304,0.9609860474993132
FIRE,Other,1,0,0,True,True,False,True,True,0.1240685016436726,0.0008631858697644,1.0,-0.0713583218133077,0.6102926045372463
FISH,Other,1,1,1,True,True,True,True,True,0.2794620898944918,0.0005201173750663,0.9354537829552728,0.0535991206144756,0.3251350777336642
FMII,Other,1,0,0,True,True,False,True,True,0.1546859681066813,0.0370855137840525,0.9979609969917614,0.0127430420549983,0.7884718950715598
FREN,Technology,1,1,1,True,True,True,True,True,0.5222750326656249,0.0006580606436303,0.4957520902257655,-0.0057818950057102,0.3252204827543786
GDST,Other,1,0,0,True,True,False,True,True,0.1744907106704372,0.0017091500044947,0.9981866596072128,0.0459730054692323,0.5286919784625623
